"rent, rub/month",full_address,city,"price_per_sqm, rub/month","square, m^2",type,url
45000,Малышева,Екатеринбург,2142,21,Универсальное помещение,https://ekaterinburg.n1.ru/view/115241658/?open_card_kn
450000,Гагарина,Екатеринбург,506,888,Универсальное помещение,https://ekaterinburg.n1.ru/view/115933369/?open_card_kn
99000,Культуры бульвар,Екатеринбург,200,493,Универсальное помещение,https://ekaterinburg.n1.ru/view/115933367/?open_card_kn
25000,Циолковского,Екатеринбург,510,49,Универсальное помещение,https://ekaterinburg.n1.ru/view/115933321/?open_card_kn
124080,Краснолесья,Екатеринбург,1200,103,Универсальное помещение,https://ekaterinburg.n1.ru/view/115932509/?open_card_kn
93600,Восточная,Екатеринбург,1200,78,Универсальное помещение,https://ekaterinburg.n1.ru/view/112647682/?open_card_kn
62000,Щорса,Екатеринбург,1371,45,Универсальное помещение,https://ekaterinburg.n1.ru/view/115931419/?open_card_kn
1500000,Фронтовых бригад,Екатеринбург,500,3000,Универсальное помещение,https://ekaterinburg.n1.ru/view/114891978/?open_card_kn
80000,Огнеупорщиков,Екатеринбург,1164,68,Универсальное помещение,https://ekaterinburg.n1.ru/view/114890962/?open_card_kn
220500,Советская,Екатеринбург,1500,147,Универсальное помещение,https://ekaterinburg.n1.ru/view/95009878/?open_card_kn
50000,Сурикова,Екатеринбург,1041,48,Универсальное помещение,https://ekaterinburg.n1.ru/view/115227861/?open_card_kn
80000,Шарташская,Екатеринбург,580,137,Универсальное помещение,https://ekaterinburg.n1.ru/view/115227859/?open_card_kn
850000,Водительский проезд,Екатеринбург,1011,840,Универсальное помещение,https://ekaterinburg.n1.ru/view/115227852/?open_card_kn
90000,Куйбышева,Екатеринбург,1601,56,Универсальное помещение,https://ekaterinburg.n1.ru/view/114516215/?open_card_kn
275000,8 Марта,Екатеринбург,1091,252,Универсальное помещение,https://ekaterinburg.n1.ru/view/113070509/?open_card_kn
150000,Таховская,Екатеринбург,707,212,Универсальное помещение,https://ekaterinburg.n1.ru/view/114186273/?open_card_kn
46800,Евгения Савкова,Екатеринбург,900,52,Универсальное помещение,https://ekaterinburg.n1.ru/view/115223760/?open_card_kn
106947,Пехотинцев,Екатеринбург,699,153,Универсальное помещение,https://ekaterinburg.n1.ru/view/115223761/?open_card_kn
90000,Щербакова,Екатеринбург,1212,74,Универсальное помещение,https://ekaterinburg.n1.ru/view/115223759/?open_card_kn
1000,Таватуйская,Екатеринбург,333,3,Универсальное помещение,https://ekaterinburg.n1.ru/view/115585922/?open_card_kn
120000,Татищева,Екатеринбург,1357,88,Универсальное помещение,https://ekaterinburg.n1.ru/view/115222562/?open_card_kn
100000,Бакинских комиссаров,Екатеринбург,928,107,Универсальное помещение,https://ekaterinburg.n1.ru/view/115585036/?open_card_kn
1215800,Карла Либкнехта,Екатеринбург,2000,607,Универсальное помещение,https://ekaterinburg.n1.ru/view/115926377/?open_card_kn
740000,Карла Либкнехта,Екатеринбург,2000,370,Универсальное помещение,https://ekaterinburg.n1.ru/view/115926378/?open_card_kn
291200,Печерская,Екатеринбург,1300,224,Универсальное помещение,https://ekaterinburg.n1.ru/view/114173494/?open_card_kn
190000,Шефская,Екатеринбург,959,198,Универсальное помещение,https://ekaterinburg.n1.ru/view/115573696/?open_card_kn
70000,Радищева,Екатеринбург,1707,41,Универсальное помещение,https://ekaterinburg.n1.ru/view/115209079/?open_card_kn
2699368,Горького,Екатеринбург,1652,1634,Универсальное помещение,https://ekaterinburg.n1.ru/view/112644482/?open_card_kn
109500,Академика Семихатова Н.А. бульвар,Екатеринбург,1500,73,Универсальное помещение,https://ekaterinburg.n1.ru/view/114171780/?open_card_kn
145650,Восточная,Екатеринбург,1500,97,Универсальное помещение,https://ekaterinburg.n1.ru/view/113052360/?open_card_kn
350000,Чапаева,Екатеринбург,598,585,Универсальное помещение,https://ekaterinburg.n1.ru/view/111143260/?open_card_kn
179900,Таганская,Екатеринбург,719,250,Универсальное помещение,https://ekaterinburg.n1.ru/view/115196845/?open_card_kn
34000,Посадская,Екатеринбург,1700,20,Универсальное помещение,https://ekaterinburg.n1.ru/view/115572195/?open_card_kn
159000,Академика Ландау,Екатеринбург,2000,79,Универсальное помещение,https://ekaterinburg.n1.ru/view/112641774/?open_card_kn
37236,Машиностроителей,Екатеринбург,673,55,Универсальное помещение,https://ekaterinburg.n1.ru/view/113779061/?open_card_kn
45000,Героев России,Екатеринбург,535,84,Универсальное помещение,https://ekaterinburg.n1.ru/view/115570931/?open_card_kn
45000,Отто Шмидта,Екатеринбург,1500,30,Универсальное помещение,https://ekaterinburg.n1.ru/view/115570930/?open_card_kn
