"rent, rub/month",full_address,city,"price_per_sqm, rub/month","square, m^2",type,url
270600,"Шаумяна проспект, 14",Санкт-Петербург,1500,180,Универсальное помещение,https://spb.n1.ru/view/115732251/?open_card_kn
164650,"Литейный проспект, 41",Санкт-Петербург,1850,89,Универсальное помещение,https://spb.n1.ru/view/115716865/?open_card_kn
7575000,"Выборгское шоссе, 12",Санкт-Петербург,2500,3030,Универсальное помещение,https://spb.n1.ru/view/115590875/?open_card_kn
225000,"Подъездной переулок, 7",Санкт-Петербург,1584,142,Универсальное помещение,https://spb.n1.ru/view/115566541/?open_card_kn
149000,"улица Ленсовета, 24",Санкт-Петербург,827,180,Универсальное помещение,https://spb.n1.ru/view/115563178/?open_card_kn
59200,"Литейный проспект, 41",Санкт-Петербург,1850,32,Универсальное помещение,https://spb.n1.ru/view/115559123/?open_card_kn
155000,"Манежная площадь, 5",Санкт-Петербург,1000,155,Универсальное помещение,https://spb.n1.ru/view/115510587/?open_card_kn
100000,"Манежная площадь, 5",Санкт-Петербург,1000,100,Универсальное помещение,https://spb.n1.ru/view/115510585/?open_card_kn
999600,"улица Воронежская, 5",Санкт-Петербург,1700,588,Универсальное помещение,https://spb.n1.ru/view/115456169/?open_card_kn
353160,"проезд Толубеевский, 18",Санкт-Петербург,1800,196,Универсальное помещение,https://spb.n1.ru/view/115324785/?open_card_kn
680332,"1-й Конной Лахты 2-й проезд, 43",Санкт-Петербург,1132,601,Универсальное помещение,https://spb.n1.ru/view/114973445/?open_card_kn
100000,"улица 1-я Красноармейская, 14",Санкт-Петербург,1904,52,Универсальное помещение,https://spb.n1.ru/view/114893545/?open_card_kn
147186,"улица Заречная, 54",Санкт-Петербург,1530,96,Универсальное помещение,https://spb.n1.ru/view/114076241/?open_card_kn
138710,"улица Предпортовая, 3",Санкт-Петербург,1300,106,Универсальное помещение,https://spb.n1.ru/view/113898140/?open_card_kn
139077,"улица Заречная, 54",Санкт-Петербург,1530,90,Универсальное помещение,https://spb.n1.ru/view/113624912/?open_card_kn
95000,"Лиговский проспект, 115",Санкт-Петербург,2375,40,Универсальное помещение,https://spb.n1.ru/view/113579938/?open_card_kn
234500,"Невский проспект, 104в",Санкт-Петербург,3500,67,Универсальное помещение,https://spb.n1.ru/view/113338362/?open_card_kn
275400,"улица Свободы, 57г",Санкт-Петербург,850,324,Универсальное помещение,https://spb.n1.ru/view/113320524/?open_card_kn
518960,"улица Заречная, 52",Санкт-Петербург,2600,199,Универсальное помещение,https://spb.n1.ru/view/113137877/?open_card_kn
5000,"улица Николая Рубцова, 5",Санкт-Петербург,5000,1,Универсальное помещение,https://spb.n1.ru/view/112502180/?open_card_kn
156061,"улица Николая Рубцова, 5",Санкт-Петербург,1665,93,Универсальное помещение,https://spb.n1.ru/view/112272785/?open_card_kn
36600,"улица Юных пионеров, 38",Санкт-Петербург,600,61,Универсальное помещение,https://spb.n1.ru/view/111821335/?open_card_kn
126700,"улица Федора Абрамова, 21",Санкт-Петербург,1400,90,Универсальное помещение,https://spb.n1.ru/view/111345308/?open_card_kn
178500,"улица Шишкина, 307",Санкт-Петербург,1400,127,Универсальное помещение,https://spb.n1.ru/view/110310609/?open_card_kn
110080,"проезд Толубеевский, 34",Санкт-Петербург,1600,68,Универсальное помещение,https://spb.n1.ru/view/110192306/?open_card_kn
127711,"улица Заречная, 46",Санкт-Петербург,1650,77,Универсальное помещение,https://spb.n1.ru/view/110090833/?open_card_kn
225281,"проезд Толубеевский, 34",Санкт-Петербург,1600,140,Универсальное помещение,https://spb.n1.ru/view/109927874/?open_card_kn
193970,"проезд Толубеевский, 34",Санкт-Петербург,1700,114,Универсальное помещение,https://spb.n1.ru/view/109836142/?open_card_kn
199386,"улица Заречная, 48",Санкт-Петербург,1980,100,Универсальное помещение,https://spb.n1.ru/view/109820919/?open_card_kn
267417,"улица Заречная, 52",Санкт-Петербург,1935,138,Универсальное помещение,https://spb.n1.ru/view/109802173/?open_card_kn
129500,"Литейный проспект, 41",Санкт-Петербург,1850,70,Универсальное помещение,https://spb.n1.ru/view/109777386/?open_card_kn
286000,"улица Юных пионеров, 38",Санкт-Петербург,1100,260,Универсальное помещение,https://spb.n1.ru/view/109085211/?open_card_kn
294270,"улица Заречная, 56",Санкт-Петербург,2550,115,Универсальное помещение,https://spb.n1.ru/view/106874885/?open_card_kn
128766,"улица Садовая, 28",Санкт-Петербург,220,585,Универсальное помещение,https://spb.n1.ru/view/106599148/?open_card_kn
100000,"Литейный проспект, 41",Санкт-Петербург,1000,100,Универсальное помещение,https://spb.n1.ru/view/77304632/?open_card_kn
379800,"Революции шоссе, 69а 102",Санкт-Петербург,1759,215,Универсальное помещение,https://spb.n1.ru/view/115953134/?open_card_kn
220000,"улица Малая Морская, 6",Санкт-Петербург,1964,112,Универсальное помещение,https://spb.n1.ru/view/111632289/?open_card_kn
190000,"проспект Ленина, 45",Санкт-Петербург,939,202,Универсальное помещение,https://spb.n1.ru/view/112289946/?open_card_kn
49000,"улица Звенигородская, 4",Санкт-Петербург,2227,22,Универсальное помещение,https://spb.n1.ru/view/115949121/?open_card_kn
120000,"Большой Сампсониевский проспект, 92",Санкт-Петербург,1051,114,Универсальное помещение,https://spb.n1.ru/view/114912863/?open_card_kn
360000,"улица Пугачева, 9",Санкт-Петербург,1132,318,Универсальное помещение,https://spb.n1.ru/view/113828571/?open_card_kn
115000,"Стачек проспект, 67",Санкт-Петербург,1437,80,Универсальное помещение,https://spb.n1.ru/view/113828422/?open_card_kn
140000,"улица Благодатная, 50",Санкт-Петербург,2333,60,Универсальное помещение,https://spb.n1.ru/view/113471165/?open_card_kn
180000,"улица Правды, 22",Санкт-Петербург,679,265,Универсальное помещение,https://spb.n1.ru/view/115948533/?open_card_kn
200000,"Лесной проспект, 20",Санкт-Петербург,1379,145,Универсальное помещение,https://spb.n1.ru/view/115948534/?open_card_kn
70000,"Загородный проспект, 30",Санкт-Петербург,1076,65,Универсальное помещение,https://spb.n1.ru/view/115254767/?open_card_kn
95000,"Выборгское шоссе, 15",Санкт-Петербург,2300,41,Универсальное помещение,https://spb.n1.ru/view/114195214/?open_card_kn
168750,"улица Малая Бухарестская, 12",Санкт-Петербург,1500,112,Универсальное помещение,https://spb.n1.ru/view/112284908/?open_card_kn
594000,"Московский проспект, 137",Санкт-Петербург,3300,180,Универсальное помещение,https://spb.n1.ru/view/111624935/?open_card_kn
650000,"улица Восстания, 6",Санкт-Петербург,2719,239,Универсальное помещение,https://spb.n1.ru/view/111215242/?open_card_kn
630000,"Комендантский проспект, 17",Санкт-Петербург,4200,150,Универсальное помещение,https://spb.n1.ru/view/111215239/?open_card_kn
110000,"Рижский проспект, 50",Санкт-Петербург,1523,72,Универсальное помещение,https://spb.n1.ru/view/115947251/?open_card_kn
250000,"Подъездной переулок, 3",Санкт-Петербург,2016,124,Универсальное помещение,https://spb.n1.ru/view/115947249/?open_card_kn
130000,"улица Наличная, 44",Санкт-Петербург,10000,13,Универсальное помещение,https://spb.n1.ru/view/115947248/?open_card_kn
880000,"улица 12-я В.О. линия, 29",Санкт-Петербург,3591,245,Универсальное помещение,https://spb.n1.ru/view/115601993/?open_card_kn
250000,"Смольный проспект, 11",Санкт-Петербург,2500,100,Универсальное помещение,https://spb.n1.ru/view/115254410/?open_card_kn
250000,"улица Чайковского, 63",Санкт-Петербург,2525,99,Универсальное помещение,https://spb.n1.ru/view/115945615/?open_card_kn
