"rent, rub/month",full_address,city,"price_per_sqm, rub/month","square, m^2",type,url
60000,"улица Героев Танкограда, 75",Челябинск,800,75,Универсальное помещение,https://chelyabinsk.n1.ru/view/115574653/?open_card_kn
120000,"улица Борьбы, 63",Челябинск,350,342,Универсальное помещение,https://chelyabinsk.n1.ru/view/115211568/?open_card_kn
10000,"проспект Ленина (Шершни), 25",Челябинск,555,18,Универсальное помещение,https://chelyabinsk.n1.ru/view/113053386/?open_card_kn
190000,"Ленина проспект, 57",Челябинск,2000,95,Универсальное помещение,https://chelyabinsk.n1.ru/view/115571473/?open_card_kn
159800,"Копейское шоссе, 88а",Челябинск,799,200,Универсальное помещение,https://chelyabinsk.n1.ru/view/115191212/?open_card_kn
50000,"улица Карпинского, 62а",Челябинск,833,60,Универсальное помещение,https://chelyabinsk.n1.ru/view/114497915/?open_card_kn
204000,"улица Братьев Кашириных, 98",Челябинск,1992,102,Универсальное помещение,https://chelyabinsk.n1.ru/view/115564073/?open_card_kn
108000,"улица Сталеваров, 28",Челябинск,1200,90,Универсальное помещение,https://chelyabinsk.n1.ru/view/115564075/?open_card_kn
60000,"улица Худякова, 9",Челябинск,1176,51,Универсальное помещение,https://chelyabinsk.n1.ru/view/115563937/?open_card_kn
180000,"улица Героев Танкограда, 118",Челябинск,720,250,Универсальное помещение,https://chelyabinsk.n1.ru/view/115172647/?open_card_kn
25000,"улица Каслинская, 40",Челябинск,147,170,Универсальное помещение,https://chelyabinsk.n1.ru/view/115172609/?open_card_kn
49000,"Ленина проспект, 36",Челябинск,890,55,Универсальное помещение,https://chelyabinsk.n1.ru/view/115561989/?open_card_kn
2250000,"улица Гагарина, 7",Челябинск,1500,1500,Универсальное помещение,https://chelyabinsk.n1.ru/view/115166101/?open_card_kn
750000,"улица Гагарина, 7",Челябинск,1500,500,Универсальное помещение,https://chelyabinsk.n1.ru/view/115166100/?open_card_kn
108000,"Свердловский проспект, 62",Челябинск,1800,60,Универсальное помещение,https://chelyabinsk.n1.ru/view/115166102/?open_card_kn
140000,"улица Героев Танкограда, 120а",Челябинск,1400,100,Универсальное помещение,https://chelyabinsk.n1.ru/view/115913811/?open_card_kn
85800,"улица Калинина, 34",Челябинск,564,152,Универсальное помещение,https://chelyabinsk.n1.ru/view/115913579/?open_card_kn
630000,"улица Братьев Кашириных, 55",Челябинск,600,1050,Универсальное помещение,https://chelyabinsk.n1.ru/view/114154308/?open_card_kn
83000,"улица Гюго, 1",Челябинск,846,98,Универсальное помещение,https://chelyabinsk.n1.ru/view/115911977/?open_card_kn
90000,"улица Евтеева, 4",Челябинск,1200,75,Универсальное помещение,https://chelyabinsk.n1.ru/view/115556909/?open_card_kn
100000,"улица Академика Макеева, 34",Челябинск,1845,54,Универсальное помещение,https://chelyabinsk.n1.ru/view/115556897/?open_card_kn
36000,"улица Жукова, 53",Челябинск,1000,36,Универсальное помещение,https://chelyabinsk.n1.ru/view/115556352/?open_card_kn
1850,"улица Героя России Родионова Е.Н., 10",Челябинск,13,138,Универсальное помещение,https://chelyabinsk.n1.ru/view/115549079/?open_card_kn
360000,"улица Карла Маркса, 81",Челябинск,600,600,Универсальное помещение,https://chelyabinsk.n1.ru/view/115901374/?open_card_kn
175000,"улица Мамина, 7б",Челябинск,749,233,Универсальное помещение,https://chelyabinsk.n1.ru/view/113419685/?open_card_kn
156000,"улица Пушкина, 32",Челябинск,1300,120,Универсальное помещение,https://chelyabinsk.n1.ru/view/113419633/?open_card_kn
445007,"улица Степана Разина, 2",Челябинск,1570,283,Универсальное помещение,https://chelyabinsk.n1.ru/view/114867300/?open_card_kn
60000,"Комсомольский проспект, 19а",Челябинск,416,144,Универсальное помещение,https://chelyabinsk.n1.ru/view/111557568/?open_card_kn
120000,"улица Братьев Кашириных, 10",Челябинск,631,190,Универсальное помещение,https://chelyabinsk.n1.ru/view/115900009/?open_card_kn
85000,"улица Марченко, 13",Челябинск,1491,57,Универсальное помещение,https://chelyabinsk.n1.ru/view/114866121/?open_card_kn
75000,"улица Свободы, 108а",Челябинск,887,84,Универсальное помещение,https://chelyabinsk.n1.ru/view/115894545/?open_card_kn
50000,"улица Воровского, 7",Челябинск,1020,49,Универсальное помещение,https://chelyabinsk.n1.ru/view/115894497/?open_card_kn
75000,"улица Комаровского, 6а",Челябинск,350,214,Универсальное помещение,https://chelyabinsk.n1.ru/view/113019273/?open_card_kn
40000,"Шагольский 3-й переулок, 3",Челябинск,666,60,Универсальное помещение,https://chelyabinsk.n1.ru/view/112237745/?open_card_kn
30000,"Ленина проспект, 14",Челябинск,272,110,Универсальное помещение,https://chelyabinsk.n1.ru/view/108291078/?open_card_kn
42000,"улица Петра Сумина, 22",Челябинск,1000,42,Универсальное помещение,https://chelyabinsk.n1.ru/view/115893038/?open_card_kn
114800,"улица Осипенко, 3",Челябинск,700,164,Универсальное помещение,https://chelyabinsk.n1.ru/view/115893039/?open_card_kn
211200,"Комсомольский проспект, 143",Челябинск,1600,132,Универсальное помещение,https://chelyabinsk.n1.ru/view/115893008/?open_card_kn
15000,"улица Базовая 2-я, 37",Челябинск,300,50,Универсальное помещение,https://chelyabinsk.n1.ru/view/115892985/?open_card_kn
25000,"улица Короленко, 39",Челябинск,138,180,Универсальное помещение,https://chelyabinsk.n1.ru/view/115892984/?open_card_kn
459000,"улица Дзержинского, 104",Челябинск,1700,270,Универсальное помещение,https://chelyabinsk.n1.ru/view/113404718/?open_card_kn
99500,"улица Черкасская, 5",Челябинск,771,129,Универсальное помещение,https://chelyabinsk.n1.ru/view/113402862/?open_card_kn
70000,"улица Чапаева, 118",Челябинск,2755,25,Универсальное помещение,https://chelyabinsk.n1.ru/view/111954231/?open_card_kn
100000,"улица Университетская Набережная, 59",Челябинск,2000,50,Универсальное помещение,https://chelyabinsk.n1.ru/view/115879438/?open_card_kn
27500,"Победы проспект, 115а",Челябинск,550,50,Универсальное помещение,https://chelyabinsk.n1.ru/view/107700671/?open_card_kn
55000,"Победы проспект, 115а",Челябинск,550,100,Универсальное помещение,https://chelyabinsk.n1.ru/view/107700670/?open_card_kn
70000,"улица Красного Урала, 4",Челябинск,660,106,Универсальное помещение,https://chelyabinsk.n1.ru/view/115876407/?open_card_kn
200000,"улица Кирова, 167",Челябинск,823,243,Универсальное помещение,https://chelyabinsk.n1.ru/view/115876405/?open_card_kn
15000,"улица Школьная, 6а",Челябинск,517,29,Универсальное помещение,https://chelyabinsk.n1.ru/view/115876398/?open_card_kn
