"rent, rub/month",full_address,city,"price_per_sqm, rub/month","square, m^2",type,url
612300,"улица им Лизы Чайкиной, 40",Краснодар,1300,471,Универсальное помещение,https://krasnodar-1.n1.ru/view/115545476/?open_card_kn
350000,"проспект им 40-летия Победы, 97 ст1",Краснодар,1000,350,Универсальное помещение,https://krasnodar-1.n1.ru/view/115901521/?open_card_kn
70000,"улица Уральская, 111",Краснодар,1166,60,Универсальное помещение,https://krasnodar-1.n1.ru/view/115544891/?open_card_kn
525000,"улица Школьная, 28",Краснодар,1500,350,Универсальное помещение,https://krasnodar-1.n1.ru/view/114869434/?open_card_kn
75000,"улица им Петра Метальникова, 36",Краснодар,1457,51,Универсальное помещение,https://krasnodar-1.n1.ru/view/114476788/?open_card_kn
29200,"улица им лётчика Позднякова, 2",Краснодар,1000,29,Универсальное помещение,https://krasnodar-1.n1.ru/view/115897708/?open_card_kn
70000,"улица Домбайская, 55",Краснодар,1129,62,Универсальное помещение,https://krasnodar-1.n1.ru/view/115897271/?open_card_kn
145000,"улица Минская, 120",Краснодар,4677,31,Универсальное помещение,https://krasnodar-1.n1.ru/view/113410257/?open_card_kn
180000,"улица Красных Партизан, 210",Краснодар,600,300,Универсальное помещение,https://krasnodar-1.n1.ru/view/113015516/?open_card_kn
53000,"улица Ставропольская, 336",Краснодар,1000,53,Универсальное помещение,https://krasnodar-1.n1.ru/view/114136684/?open_card_kn
73500,"улица им Лизы Чайкиной, 32",Краснодар,700,105,Универсальное помещение,https://krasnodar-1.n1.ru/view/112618368/?open_card_kn
160000,"улица Школьная, 62",Краснодар,1000,160,Универсальное помещение,https://krasnodar-1.n1.ru/view/109404422/?open_card_kn
300000,"улица Новороссийская, 232",Краснодар,1500,200,Универсальное помещение,https://krasnodar-1.n1.ru/view/115887392/?open_card_kn
300000,"улица Ставропольская, 184",Краснодар,2727,110,Универсальное помещение,https://krasnodar-1.n1.ru/view/114467454/?open_card_kn
850000,"улица Рашпилевская, 32",Краснодар,1700,500,Универсальное помещение,https://krasnodar-1.n1.ru/view/114464145/?open_card_kn
35000,"улица Имени Героя Ростовского, 8",Краснодар,800,43,Универсальное помещение,https://krasnodar-1.n1.ru/view/114464144/?open_card_kn
80500000,"улица им Энгельса, 150",Краснодар,350000,230,Универсальное помещение,https://krasnodar-1.n1.ru/view/114131406/?open_card_kn
75000,"улица Природная, 10б 21",Краснодар,1500,50,Универсальное помещение,https://krasnodar-1.n1.ru/view/114454843/?open_card_kn
306000,"Чекистов проспект, 1",Краснодар,1700,180,Универсальное помещение,https://krasnodar-1.n1.ru/view/107330415/?open_card_kn
13600,"улица Генерал-лейтенанта Александра Сапрунова, 13",Краснодар,800,17,Универсальное помещение,https://krasnodar-1.n1.ru/view/115869456/?open_card_kn
33000,"улица Воронежская, 47",Краснодар,1571,21,Универсальное помещение,https://krasnodar-1.n1.ru/view/114834014/?open_card_kn
45000,"улица им Селезнева, 4",Краснодар,818,55,Универсальное помещение,https://krasnodar-1.n1.ru/view/115522315/?open_card_kn
90000,"проспект Адмирала Крузенштерна, 6",Краснодар,1130,79,Универсальное помещение,https://krasnodar-1.n1.ru/view/114828490/?open_card_kn
1100000,"улица им Гоголя, 68",Краснодар,2500,440,Универсальное помещение,https://krasnodar-1.n1.ru/view/112990731/?open_card_kn
2500000,"улица Красных Партизан, 525",Краснодар,1241,2014,Универсальное помещение,https://krasnodar-1.n1.ru/view/114102151/?open_card_kn
174420,"улица им Буденного, 129",Краснодар,900,193,Универсальное помещение,https://krasnodar-1.n1.ru/view/111920400/?open_card_kn
600000,"улица Красноармейская, 57",Краснодар,1500,400,Универсальное помещение,https://krasnodar-1.n1.ru/view/112558119/?open_card_kn
40000,"улица Красных Партизан, 1",Краснодар,675,59,Универсальное помещение,https://krasnodar-1.n1.ru/view/115503091/?open_card_kn
448000,"Чекистов проспект, 15",Краснодар,800,560,Универсальное помещение,https://krasnodar-1.n1.ru/view/112552231/?open_card_kn
907000,"Чекистов проспект, 15",Краснодар,799,1134,Универсальное помещение,https://krasnodar-1.n1.ru/view/112552220/?open_card_kn
