"rent, rub/month",full_address,city,"price_per_sqm, rub/month","square, m^2",type,url
51000,"Морской проспект, 29",Новосибирск,637,80,Универсальное помещение,https://novosibirsk.n1.ru/view/114913942/?open_card_kn
46260,"улица Новогодняя, 24",Новосибирск,907,51,Универсальное помещение,https://novosibirsk.n1.ru/view/115949467/?open_card_kn
23000,"улица Мичурина, 10",Новосибирск,920,25,Универсальное помещение,https://novosibirsk.n1.ru/view/115949040/?open_card_kn
160000,"улица Кирова, 113",Новосибирск,842,190,Универсальное помещение,https://novosibirsk.n1.ru/view/115948818/?open_card_kn
100000,"улица Красный Факел, 25",Новосибирск,1531,65,Универсальное помещение,https://novosibirsk.n1.ru/view/115945822/?open_card_kn
222750,"улица Большевистская, 43/2с",Новосибирск,1500,148,Универсальное помещение,https://novosibirsk.n1.ru/view/114523161/?open_card_kn
70000,"улица Петухова, 140",Новосибирск,700,100,Универсальное помещение,https://novosibirsk.n1.ru/view/115942294/?open_card_kn
120000,"улица Фрунзе, 5",Новосибирск,667,179,Универсальное помещение,https://novosibirsk.n1.ru/view/115942259/?open_card_kn
170000,"улица Тульская, 80",Новосибирск,787,216,Универсальное помещение,https://novosibirsk.n1.ru/view/115942255/?open_card_kn
35000,"улица Оловозаводская, 13",Новосибирск,779,44,Универсальное помещение,https://novosibirsk.n1.ru/view/115942256/?open_card_kn
75000,"улица Ватутина, 93",Новосибирск,892,84,Универсальное помещение,https://novosibirsk.n1.ru/view/115942250/?open_card_kn
100000,"улица Станиславского, 36а",Новосибирск,1000,100,Универсальное помещение,https://novosibirsk.n1.ru/view/115942249/?open_card_kn
80000,"улица Зорге, 197",Новосибирск,1951,41,Универсальное помещение,https://novosibirsk.n1.ru/view/115942244/?open_card_kn
95000,"улица Береговая, 122",Новосибирск,386,245,Универсальное помещение,https://novosibirsk.n1.ru/view/115942247/?open_card_kn
362500,"улица Приисковая, 23",Новосибирск,1250,290,Универсальное помещение,https://novosibirsk.n1.ru/view/115942242/?open_card_kn
99000,"улица Глинки, 10а",Новосибирск,750,132,Универсальное помещение,https://novosibirsk.n1.ru/view/115942241/?open_card_kn
202000,"улица Галущака, 4",Новосибирск,1000,202,Универсальное помещение,https://novosibirsk.n1.ru/view/115942240/?open_card_kn
56000,"улица Центральная, 3а",Новосибирск,982,57,Универсальное помещение,https://novosibirsk.n1.ru/view/115942239/?open_card_kn
45000,"улица Твардовского, 22",Новосибирск,540,83,Универсальное помещение,https://novosibirsk.n1.ru/view/115942186/?open_card_kn
50000,"улица Советская, 13",Новосибирск,1282,39,Универсальное помещение,https://novosibirsk.n1.ru/view/115942185/?open_card_kn
82000,"улица Станиславского, 6",Новосибирск,1138,72,Универсальное помещение,https://novosibirsk.n1.ru/view/114907091/?open_card_kn
80000,"улица Некрасова, 63",Новосибирск,657,121,Универсальное помещение,https://novosibirsk.n1.ru/view/113822448/?open_card_kn
70000,"улица Вилюйская, 5",Новосибирск,625,112,Универсальное помещение,https://novosibirsk.n1.ru/view/115249615/?open_card_kn
60000,"Микрорайон 3-й, 2",Новосибирск,882,68,Универсальное помещение,https://novosibirsk.n1.ru/view/113821428/?open_card_kn
115050,"Красный проспект, 167",Новосибирск,1500,76,Универсальное помещение,https://novosibirsk.n1.ru/view/115940205/?open_card_kn
60000,"Красный проспект, 153",Новосибирск,1666,36,Универсальное помещение,https://novosibirsk.n1.ru/view/115937858/?open_card_kn
